chunk_id,doc_set,norma_id,norma_titulo,version_corte,idioma,seccion,subseccion,parrafo_ini,parrafo_fin,page_ini_pdf,page_fin_pdf,content_type,text,citation,source_file,metadata_json
NICSP 22-P0001,NICSP,NICSP 22,REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL,31-01-2025,es,Objetivo,,1,1,5,5,paragraph,"El objetivo de esta Norma es establecer los requerimientos de revelación de información para los gobiernos
que elijan presentar información sobre el sector gobierno general (SGG) en sus estados financieros
consolidados. La revelación de información adecuada sobre el SGG de un gobierno puede mejorar la
transparencia de la información financiera, y proporcionar una mejor comprensión de la relación entre las
actividades de mercado y no mercado del gobierno y entre los estados financieros y las bases estadísticas
de información financiera.",NICSP 22 — REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL — Objetivo — párr. 1 — p. 5,NICSP 22.pdf,"{""chunk_id"": ""NICSP 22-P0001"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 22"", ""norma_titulo"": ""REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Objetivo"", ""subseccion"": null, ""parrafo_ini"": 1, ""parrafo_fin"": 1, ""page_ini_pdf"": 5, ""page_fin_pdf"": 5, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 22.pdf""}"
NICSP 22-P0002,NICSP,NICSP 22,REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL,31-01-2025,es,Alcance,,2,2,5,5,paragraph,"Un gobierno que prepara y presenta estados financieros consolidados según la base contable de
acumulación (o devengo) y elige revelar información sobre el sector gobierno general lo hará de
acuerdo con los requerimientos de esta Norma.",NICSP 22 — REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL — Alcance — párr. 2 — p. 5,NICSP 22.pdf,"{""chunk_id"": ""NICSP 22-P0002"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 22"", ""norma_titulo"": ""REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 2, ""parrafo_fin"": 2, ""page_ini_pdf"": 5, ""page_fin_pdf"": 5, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 22.pdf""}"
NICSP 22-P0003,NICSP,NICSP 22,REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL,31-01-2025,es,Alcance,,3,3,5,5,paragraph,"Los gobiernos obtienen fondos a partir de impuestos, transferencias y un número de actividades de mercado
y no de mercado para financiar sus actividades de prestación de servicios. Operan a través de una variedad
de entidades para suministrar bienes y servicios a los ciudadanos. Algunas entidades dependen
principalmente de las asignaciones presupuestarias o distribuciones de impuestos u otros ingresos
gubernamentales para financiar sus actividades de prestación de servicios, pero también pueden llevar a
cabo actividades adicionales generadoras de ingresos incluyendo en ocasiones actividades comerciales.
Otras entidades pueden obtener sus fondos principalmente o en gran medida a través de actividades
comerciales.",NICSP 22 — REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL — Alcance — párr. 3 — p. 5,NICSP 22.pdf,"{""chunk_id"": ""NICSP 22-P0003"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 22"", ""norma_titulo"": ""REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 3, ""parrafo_fin"": 3, ""page_ini_pdf"": 5, ""page_fin_pdf"": 5, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 22.pdf""}"
NICSP 22-P0004,NICSP,NICSP 22,REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL,31-01-2025,es,Alcance,,4,4,5,5,paragraph,"Los estados financieros de un gobierno preparados de acuerdo con las NICSP proporcionan una visión
general de (a) los activos controlados y los pasivos incurridos por el gobierno, (b) el costo de los servicios
suministrados por el gobierno, y (c) los impuestos y otros ingresos generados para financiar la provisión de
dichos servicios. Los estados financieros de un gobierno, que suministra servicios a través de entidades
controladas, dependan principalmente del presupuesto del gobierno para financiar sus actividades o no, son
estados financieros consolidados.",NICSP 22 — REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL — Alcance — párr. 4 — p. 5,NICSP 22.pdf,"{""chunk_id"": ""NICSP 22-P0004"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 22"", ""norma_titulo"": ""REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 4, ""parrafo_fin"": 4, ""page_ini_pdf"": 5, ""page_fin_pdf"": 5, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 22.pdf""}"
NICSP 22-P0005,NICSP,NICSP 22,REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL,31-01-2025,es,Alcance,,5,5,5,5,paragraph,"En algunas jurisdicciones, los estados financieros y presupuestarios del gobierno, o sectores del mismo,
pueden también ser emitidos de acuerdo con bases estadísticas de información financiera. Estas bases
reflejan requerimientos congruentes con, y derivados de, el Sistema de Cuentas Nacionales, 2008 (SCN
2008) preparado por las Naciones Unidas y otras organizaciones internacionales. Estas bases estadísticas
de información financiera se centran en la provisión de información financiera sobre el SGG. El SGG
comprende aquellas entidades sin ánimo de lucro que llevan a cabo actividades no de mercado y dependen
principalmente de asignaciones o distribuciones presupuestarias del gobierno para financiar sus actividades
de prestación de servicios (referidas en adelante como entidades o actividades no de mercado). Las bases
estadísticas de información financiera pueden también proporcionar información sobre (a) el sector de
corporaciones del gobierno que realiza principalmente actividades de mercado [calificado normalmente
como el sector corporaciones públicas financieras (CPF) y el sector corporaciones públicas no financieras
(CPNF)], y (b) el sector público en su conjunto. Las principales características de los sectores CPF y CPNF
se señalan en los párrafos 19 y 20 de esta Norma.",NICSP 22 — REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL — Alcance — párr. 5 — p. 5,NICSP 22.pdf,"{""chunk_id"": ""NICSP 22-P0005"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 22"", ""norma_titulo"": ""REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 5, ""parrafo_fin"": 5, ""page_ini_pdf"": 5, ""page_fin_pdf"": 5, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 22.pdf""}"
NICSP 22-P0006,NICSP,NICSP 22,REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL,31-01-2025,es,Alcance,,6,6,5,6,paragraph,"Los estados financieros consolidan solo las entidades controladas. Esta limitación no tiene lugar en las bases
estadísticas de información financiera. En algunas jurisdicciones, un gobierno nacional controla entidades
de gobierno regional/provincial y local, y en consecuencia sus estados financieros consolidan dichos niveles
de gobierno, pero en otras jurisdicciones no lo hacen. En todas jurisdicciones, según las bases estadísticas
de información financiera, el SGG de todos los niveles de gobierno están combinados, por lo que en algunas
jurisdicciones el SGG incluirá unidades que los estados financieros no consolidan. Esta Norma desagrega
los estados financieros consolidados de un gobierno. En consecuencia, prohíbe la presentación, como parte
del SGG, de una entidad no consolidada dentro de los estados financieros de un gobierno.",NICSP 22 — REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL — Alcance — párr. 6 — p. 5-6,NICSP 22.pdf,"{""chunk_id"": ""NICSP 22-P0006"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 22"", ""norma_titulo"": ""REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 6, ""parrafo_fin"": 6, ""page_ini_pdf"": 5, ""page_fin_pdf"": 6, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 22.pdf""}"
NICSP 22-P0007,NICSP,NICSP 22,REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL,31-01-2025,es,Alcance,Información financiera por segmentos,7,7,6,6,paragraph,"La NICSP 18, Información Financiera por Segmentos, requiere la revelación de cierta información sobre las
actividades de prestación de servicios de la entidad y los recursos destinados a sustentar dichas actividades
para propósitos de rendición de cuentas y toma de decisiones. A diferencia de los sectores sobre los que se
informa según las bases estadísticas de información financiera, los segmentos sobre los que se informa de
acuerdo a la NICSP 18 no se basan en la distinción entre actividades de mercado y no de mercado.",NICSP 22 — REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL — Alcance / Información financiera por segmentos — párr. 7 — p. 6,NICSP 22.pdf,"{""chunk_id"": ""NICSP 22-P0007"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 22"", ""norma_titulo"": ""REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": ""Información financiera por segmentos"", ""parrafo_ini"": 7, ""parrafo_fin"": 7, ""page_ini_pdf"": 6, ""page_fin_pdf"": 6, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 22.pdf""}"
NICSP 22-P0008,NICSP,NICSP 22,REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL,31-01-2025,es,Alcance,Información financiera por segmentos,8,8,6,6,paragraph,"La revelación de información sobre el SGG no sustituye la necesidad de hacer revelaciones sobre
segmentos de acuerdo con la NICSP 18. Esto es porque la información sobre el SGG sola no facilitará el
suficiente detalle para permitir a los usuarios evaluar el rendimiento de la entidad en el pasado para alcanzar
sus principales objetivos en la prestación del servicio, cuando dichos objetivos son alcanzados a través de
entidades no del SGG. Por ejemplo, identificar el SGG como un segmento no proporcionará información
sobre el rendimiento de un gobierno para alcanzar sus objetivos en telecomunicaciones, sanidad o
educación cuando corporaciones gubernamentales o cuasi-corporaciones suministran servicios
relacionados con dichos objetivos. Puesto que el SGG es solamente un subconjunto del gobierno como un
todo, se omitiría información importante si un gobierno no presentase información por segmentos con
respecto a sus estados financieros consolidados.",NICSP 22 — REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL — Alcance / Información financiera por segmentos — párr. 8 — p. 6,NICSP 22.pdf,"{""chunk_id"": ""NICSP 22-P0008"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 22"", ""norma_titulo"": ""REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": ""Información financiera por segmentos"", ""parrafo_ini"": 8, ""parrafo_fin"": 8, ""page_ini_pdf"": 6, ""page_fin_pdf"": 6, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 22.pdf""}"
NICSP 22-P0009,NICSP,NICSP 22,REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL,31-01-2025,es,Alcance,Bases estadísticas de información financiera,9,9,6,6,paragraph,"Los objetivos de los estados financieros preparados de acuerdo con las NICSP y aquéllos preparados de
acuerdo con las bases estadísticas de información difieren en algunos aspectos. Los objetivos de los estados
financieros preparados de acuerdo con las NICSP son proporcionar información útil para la toma de
decisiones y demostrar el cumplimiento con la obligación de rendir cuentas de la entidad por los recursos
que le han sido confiados y que controla. El propósito de los estados financieros preparados de acuerdo con
las bases estadísticas de información es proporcionar información adecuada para analizar y evaluar la
política fiscal, especialmente el rendimiento del SGG y del sector público global de cualquier país. Además,
aunque las bases estadísticas de información financiera pueden ser expresadas en términos contables,
pueden diferir de modo importante del sistema contable financiero subyacente a partir del cual se derivarán
la mayoría de estadísticas sobre finanzas gubernamentales. No obstante, las NICSP y las bases estadísticas
de información financiera también tienen muchas similitudes en el tratamiento de las transacciones y otros
hechos. Por ejemplo, ambas adoptan una base contable de acumulación (o devengo), tratan transacciones
y hechos similares, y en algunos aspectos requieren un tipo de estructura de la información similar.",NICSP 22 — REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL — Alcance / Bases estadísticas de información financiera — párr. 9 — p. 6,NICSP 22.pdf,"{""chunk_id"": ""NICSP 22-P0009"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 22"", ""norma_titulo"": ""REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": ""Bases estadísticas de información financiera"", ""parrafo_ini"": 9, ""parrafo_fin"": 9, ""page_ini_pdf"": 6, ""page_fin_pdf"": 6, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 22.pdf""}"
NICSP 22-P0010,NICSP,NICSP 22,REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL,31-01-2025,es,Alcance,Bases estadísticas de información financiera,10,10,6,6,paragraph,"En algunas jurisdicciones, la revelación de información adecuada sobre el SGG en los estados financieros
puede apoyar y mejorar la toma de decisiones de los usuarios de dichos estados, y la rendición de cuentas
a éstos. Por ejemplo, la revelación de información adecuada sobre el SGG es coherente con mejorar la
transparencia de la información financiera y ayudará a los usuarios de los estados financieros a comprender
mejor:
(a) los recursos destinados a sustentar las actividades de prestación de servicios por el SGG, y el
rendimiento financiero del gobierno en la prestación de dichos servicios; y
(b) la relación entre el SGG y los sectores de las corporaciones, y el impacto de cada uno de ellos,
sobre el rendimiento financiero global.",NICSP 22 — REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL — Alcance / Bases estadísticas de información financiera — párr. 10 — p. 6,NICSP 22.pdf,"{""chunk_id"": ""NICSP 22-P0010"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP 22"", ""norma_titulo"": ""REVELACIÓN DE INFORMACIÓN FINANCIERA SOBRE EL SECTOR GOBIERNO GENERAL"", ""version_corte"": ""31-01-2025"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": ""Bases estadísticas de información financiera"", ""parrafo_ini"": 10, ""parrafo_fin"": 10, ""page_ini_pdf"": 6, ""page_fin_pdf"": 6, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 22.pdf""}"
