chunk_id,doc_set,norma_id,norma_titulo,version_corte,idioma,seccion,subseccion,parrafo_ini,parrafo_fin,page_ini_pdf,page_fin_pdf,content_type,text,citation,source_file,metadata_json
NICSP-19-P0000,NICSP,NICSP-19,"Provisiones, Pasivos Contingentes y Activos Contingentes",2025-01-31,es,Objetivo,,0,0,11,11,paragraph,"El objetivo de la presente Norma es (a) establecer una definición para las provisiones, pasivos contingentes y activos contingentes, e (b) identificar las circunstancias en que deben reconocerse las provisiones, la forma en que deben medirse y la información que debe revelarse sobre ellas. La Norma requiere asimismo que, en las notas a los estados financieros, se revele determinada información sobre los pasivos contingentes y activos contingentes, para permitir a los usuarios comprender la naturaleza, calendario de vencimiento y cuantía de tales partidas.","NICSP-19 — Provisiones, Pasivos Contingentes y Activos Contingentes — Objetivo — párr. 0 — p. 11",NICSP 19.pdf,"{""chunk_id"": ""NICSP-19-P0000"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-19"", ""norma_titulo"": ""Provisiones, Pasivos Contingentes y Activos Contingentes"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Objetivo"", ""subseccion"": null, ""parrafo_ini"": 0, ""parrafo_fin"": 0, ""page_ini_pdf"": 11, ""page_fin_pdf"": 11, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 19.pdf""}"
NICSP-19-P0001,NICSP,NICSP-19,"Provisiones, Pasivos Contingentes y Activos Contingentes",2025-01-31,es,Alcance,,1,1,11,11,paragraph,"Una entidad que prepare y presente sus estados financieros sobre la base contable de acumulación (o devengo), aplicará esta Norma al contabilizar sus provisiones, pasivos contingentes y activos contingentes, con excepción de: (a) Beneficios sociales dentro del alcance de la NICSP 42; (b) [Eliminado] (c) aquellos que se deriven de contratos pendientes de ejecución, distintos de aquellos en que el contrato sea oneroso y esté sujeto a otras estipulaciones de este párrafo; (d) contratos de seguro realizados dentro del alcance de la correspondiente norma de contabilidad nacional o internacional que trata los contratos de seguro; (e) aquellos de los que se ocupe alguna otra NICSP; (f) aquellos que surjan en relación con el impuesto a las ganancias o equivalentes del impuesto a las ganancias; y (g) aquellos que provengan de los beneficios sociales de los trabajadores, excepto beneficios por cese surgidos como consecuencia de una reestructuración según lo estipulado en esta Norma.","NICSP-19 — Provisiones, Pasivos Contingentes y Activos Contingentes — Alcance — párr. 1 — p. 11",NICSP 19.pdf,"{""chunk_id"": ""NICSP-19-P0001"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-19"", ""norma_titulo"": ""Provisiones, Pasivos Contingentes y Activos Contingentes"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 1, ""parrafo_fin"": 1, ""page_ini_pdf"": 11, ""page_fin_pdf"": 11, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 19.pdf""}"
NICSP-19-P0002,NICSP,NICSP-19,"Provisiones, Pasivos Contingentes y Activos Contingentes",2025-01-31,es,Alcance,,2,2,11,11,deleted,[Eliminado],"NICSP-19 — Provisiones, Pasivos Contingentes y Activos Contingentes — Alcance — párr. 2 — p. 11",NICSP 19.pdf,"{""chunk_id"": ""NICSP-19-P0002"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-19"", ""norma_titulo"": ""Provisiones, Pasivos Contingentes y Activos Contingentes"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 2, ""parrafo_fin"": 2, ""page_ini_pdf"": 11, ""page_fin_pdf"": 11, ""content_type"": ""deleted"", ""qa_scope"": ""historico"", ""source_file"": ""NICSP 19.pdf""}"
NICSP-19-P0003,NICSP,NICSP-19,"Provisiones, Pasivos Contingentes y Activos Contingentes",2025-01-31,es,Alcance,,3,3,11,11,deleted,[Eliminado],"NICSP-19 — Provisiones, Pasivos Contingentes y Activos Contingentes — Alcance — párr. 3 — p. 11",NICSP 19.pdf,"{""chunk_id"": ""NICSP-19-P0003"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-19"", ""norma_titulo"": ""Provisiones, Pasivos Contingentes y Activos Contingentes"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 3, ""parrafo_fin"": 3, ""page_ini_pdf"": 11, ""page_fin_pdf"": 11, ""content_type"": ""deleted"", ""qa_scope"": ""historico"", ""source_file"": ""NICSP 19.pdf""}"
NICSP-19-P0004,NICSP,NICSP-19,"Provisiones, Pasivos Contingentes y Activos Contingentes",2025-01-31,es,Alcance,,4,4,11,11,paragraph,"Esta Norma no se aplica a los instrumentos financieros (incluyendo las garantías) que quedan dentro del alcance de la NICSP 41, Instrumentos Financieros.","NICSP-19 — Provisiones, Pasivos Contingentes y Activos Contingentes — Alcance — párr. 4 — p. 11",NICSP 19.pdf,"{""chunk_id"": ""NICSP-19-P0004"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-19"", ""norma_titulo"": ""Provisiones, Pasivos Contingentes y Activos Contingentes"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 4, ""parrafo_fin"": 4, ""page_ini_pdf"": 11, ""page_fin_pdf"": 11, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 19.pdf""}"
NICSP-19-P0004A,NICSP,NICSP-19,"Provisiones, Pasivos Contingentes y Activos Contingentes",2025-01-31,es,Alcance,,4,4,11,11,paragraph,Esta Norma no se aplica a la contraprestación contingente de una adquirente en una combinación del sector público que esté dentro del alcance de la NICSP 40 Combinaciones del Sector Público.,"NICSP-19 — Provisiones, Pasivos Contingentes y Activos Contingentes — Alcance — párr. 4A — p. 11",NICSP 19.pdf,"{""chunk_id"": ""NICSP-19-P0004A"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-19"", ""norma_titulo"": ""Provisiones, Pasivos Contingentes y Activos Contingentes"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 4, ""parrafo_fin"": 4, ""page_ini_pdf"": 11, ""page_fin_pdf"": 11, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 19.pdf""}"
NICSP-19-P0005,NICSP,NICSP-19,"Provisiones, Pasivos Contingentes y Activos Contingentes",2025-01-31,es,Alcance,,5,5,11,11,deleted,[Eliminado],"NICSP-19 — Provisiones, Pasivos Contingentes y Activos Contingentes — Alcance — párr. 5 — p. 11",NICSP 19.pdf,"{""chunk_id"": ""NICSP-19-P0005"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-19"", ""norma_titulo"": ""Provisiones, Pasivos Contingentes y Activos Contingentes"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 5, ""parrafo_fin"": 5, ""page_ini_pdf"": 11, ""page_fin_pdf"": 11, ""content_type"": ""deleted"", ""qa_scope"": ""historico"", ""source_file"": ""NICSP 19.pdf""}"
NICSP-19-P0006,NICSP,NICSP-19,"Provisiones, Pasivos Contingentes y Activos Contingentes",2025-01-31,es,Alcance,,6,6,11,11,paragraph,"Esta Norma es aplicable a las provisiones de una reestructuración (incluyéndose aquí las operaciones discontinuadas). Cuando una determinada reestructuración cumple con la definición de operación discontinuada, la NIIF 44 Activos no Corrientes Mantenidos para la Venta y Operaciones Discontinuadas, puede exigir revelar información adicional sobre la misma.","NICSP-19 — Provisiones, Pasivos Contingentes y Activos Contingentes — Alcance — párr. 6 — p. 11",NICSP 19.pdf,"{""chunk_id"": ""NICSP-19-P0006"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-19"", ""norma_titulo"": ""Provisiones, Pasivos Contingentes y Activos Contingentes"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 6, ""parrafo_fin"": 6, ""page_ini_pdf"": 11, ""page_fin_pdf"": 11, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 19.pdf""}"
NICSP-19-P0006A,NICSP,NICSP-19,"Provisiones, Pasivos Contingentes y Activos Contingentes",2025-01-31,es,Alcance,,6,6,11,11,paragraph,"Esta Norma proporciona guías para la determinación si, y si es así, cuando, surge una provisión de los servicios colectivos e individuales (párrafos GA2 a GA20).","NICSP-19 — Provisiones, Pasivos Contingentes y Activos Contingentes — Alcance — párr. 6A — p. 11",NICSP 19.pdf,"{""chunk_id"": ""NICSP-19-P0006A"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-19"", ""norma_titulo"": ""Provisiones, Pasivos Contingentes y Activos Contingentes"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 6, ""parrafo_fin"": 6, ""page_ini_pdf"": 11, ""page_fin_pdf"": 11, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 19.pdf""}"
NICSP-19-P0007,NICSP,NICSP-19,"Provisiones, Pasivos Contingentes y Activos Contingentes",2025-01-31,es,Alcance,,7,7,11,11,deleted,[Eliminado],"NICSP-19 — Provisiones, Pasivos Contingentes y Activos Contingentes — Alcance — párr. 7 — p. 11",NICSP 19.pdf,"{""chunk_id"": ""NICSP-19-P0007"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-19"", ""norma_titulo"": ""Provisiones, Pasivos Contingentes y Activos Contingentes"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 7, ""parrafo_fin"": 7, ""page_ini_pdf"": 11, ""page_fin_pdf"": 11, ""content_type"": ""deleted"", ""qa_scope"": ""historico"", ""source_file"": ""NICSP 19.pdf""}"
