chunk_id,doc_set,norma_id,norma_titulo,version_corte,idioma,seccion,subseccion,parrafo_ini,parrafo_fin,page_ini_pdf,page_fin_pdf,content_type,text,citation,source_file,metadata_json
NICSP-02-P0001,NICSP,NICSP-02,ESTADO DE FLUJOS DE EFECTIVO,2025-01-31,es,Alcance,,1,1,7,7,paragraph,"Una entidad que prepare y presente estados financieros según la base contable de acumulación (o devengo) debe preparar un estado de flujos de efectivo de acuerdo con los requerimientos de esta Norma, y debe presentarlo como parte integrante de sus estados financieros para cada periodo en que se presenten.",NICSP-02 — ESTADO DE FLUJOS DE EFECTIVO — Alcance — párr. 1 — p. 7,NICSP 02.pdf,"{""chunk_id"": ""NICSP-02-P0001"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-02"", ""norma_titulo"": ""ESTADO DE FLUJOS DE EFECTIVO"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 1, ""parrafo_fin"": 1, ""page_ini_pdf"": 7, ""page_fin_pdf"": 7, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 02.pdf""}"
NICSP-02-P0002,NICSP,NICSP-02,ESTADO DE FLUJOS DE EFECTIVO,2025-01-31,es,Alcance,,2,2,7,7,paragraph,"La información sobre flujos de efectivo puede ser útil para los usuarios de los estados financieros al (a) evaluar los flujos de efectivo de la entidad, (b) evaluar el cumplimiento de la entidad con las leyes y reglamentos (incluyendo los presupuestos, cuando proceda) y (c) tomar decisiones relativas al suministro de recursos a, o realización de transacciones con, una entidad. Los usuarios suelen estar interesados en la forma en que la entidad genera y usa su efectivo y equivalentes al efectivo. Esta necesi dad es independiente de la naturaleza de las actividades de la entidad, incluso cuando el efectivo pueda ser considerado como el producto de la entidad, como puede ser el caso de una institución financiera pública. Las entidades necesitan efectivo por las mismas razones básicas, por muy diferentes que sean las actividades que constituyen su principal fuente de ingresos. Las entidades necesitan el efectivo para pagar los bienes y servicios que consumen, para satisfacer los gastos financieros de su deuda, y, en algunos casos, para reducir sus niveles de deuda. Por consiguiente, esta Norma exige que todas las entidades presenten un estado de flujos de efectivo .",NICSP-02 — ESTADO DE FLUJOS DE EFECTIVO — Alcance — párr. 2 — p. 7,NICSP 02.pdf,"{""chunk_id"": ""NICSP-02-P0002"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-02"", ""norma_titulo"": ""ESTADO DE FLUJOS DE EFECTIVO"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 2, ""parrafo_fin"": 2, ""page_ini_pdf"": 7, ""page_fin_pdf"": 7, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 02.pdf""}"
NICSP-02-P0003,NICSP,NICSP-02,ESTADO DE FLUJOS DE EFECTIVO,2025-01-31,es,Alcance,,3,3,7,7,deleted,[Eliminado],NICSP-02 — ESTADO DE FLUJOS DE EFECTIVO — Alcance — párr. 3 — p. 7,NICSP 02.pdf,"{""chunk_id"": ""NICSP-02-P0003"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-02"", ""norma_titulo"": ""ESTADO DE FLUJOS DE EFECTIVO"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 3, ""parrafo_fin"": 3, ""page_ini_pdf"": 7, ""page_fin_pdf"": 7, ""content_type"": ""deleted"", ""qa_scope"": ""historico"", ""source_file"": ""NICSP 02.pdf""}"
NICSP-02-P0004,NICSP,NICSP-02,ESTADO DE FLUJOS DE EFECTIVO,2025-01-31,es,Alcance,,4,4,7,7,deleted,[Eliminado],NICSP-02 — ESTADO DE FLUJOS DE EFECTIVO — Alcance — párr. 4 — p. 7,NICSP 02.pdf,"{""chunk_id"": ""NICSP-02-P0004"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-02"", ""norma_titulo"": ""ESTADO DE FLUJOS DE EFECTIVO"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Alcance"", ""subseccion"": null, ""parrafo_ini"": 4, ""parrafo_fin"": 4, ""page_ini_pdf"": 7, ""page_fin_pdf"": 7, ""content_type"": ""deleted"", ""qa_scope"": ""historico"", ""source_file"": ""NICSP 02.pdf""}"
NICSP-02-P0005,NICSP,NICSP-02,ESTADO DE FLUJOS DE EFECTIVO,2025-01-31,es,Beneficios de la información sobre flujos de efectivo,,5,5,7,7,paragraph,"La información sobre los flujos de efectivo de una entidad es útil para ayudar a los usuarios a predecir (a) las necesidades futuras de efectivo de la entidad, (b) la capacidad de ésta para generar flujos de efectivo en el futuro, y (c) su capacidad para f inanciar los cambios que se produzcan en el alcance y naturaleza de sus actividades. El estado de flujos de efectivo también proporciona los medios a través de los que la entidad puede sustentar su rendición de cuentas por los flujos de entrada y salida de  efectivo durante el periodo sobre el que se informa.",NICSP-02 — ESTADO DE FLUJOS DE EFECTIVO — Beneficios de la información sobre flujos de efectivo — párr. 5 — p. 7,NICSP 02.pdf,"{""chunk_id"": ""NICSP-02-P0005"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-02"", ""norma_titulo"": ""ESTADO DE FLUJOS DE EFECTIVO"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Beneficios de la información sobre flujos de efectivo"", ""subseccion"": null, ""parrafo_ini"": 5, ""parrafo_fin"": 5, ""page_ini_pdf"": 7, ""page_fin_pdf"": 7, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 02.pdf""}"
NICSP-02-P0006,NICSP,NICSP-02,ESTADO DE FLUJOS DE EFECTIVO,2025-01-31,es,Beneficios de la información sobre flujos de efectivo,,6,6,7,8,paragraph,"Un estado de flujos de efectivo, cuando se utiliza conjuntamente con el resto de estados financieros, suministra información que permite a los usuarios evaluar los cambios en los activos netos/patrimonio de la entidad, su estructura financiera (incluyendo su liquidez y solvencia) y su capacidad para modificar tanto los importes como las fechas de los flujos de efectivo, a fin de adaptarse a la evolución de las circunstancias y a las oportunidades que se puedan presentar. También fortalece la comparabilidad de la información sobre ESTADO DE FLUJOS DE EFECTIVO NICSP 2  200 el rendimiento operativo de diferentes entidades, puesto que elimina los efectos de utilizar distintos tratamientos contables para las mismas transacciones y otros eventos.",NICSP-02 — ESTADO DE FLUJOS DE EFECTIVO — Beneficios de la información sobre flujos de efectivo — párr. 6 — p. 7-8,NICSP 02.pdf,"{""chunk_id"": ""NICSP-02-P0006"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-02"", ""norma_titulo"": ""ESTADO DE FLUJOS DE EFECTIVO"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Beneficios de la información sobre flujos de efectivo"", ""subseccion"": null, ""parrafo_ini"": 6, ""parrafo_fin"": 6, ""page_ini_pdf"": 7, ""page_fin_pdf"": 8, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 02.pdf""}"
NICSP-02-P0007,NICSP,NICSP-02,ESTADO DE FLUJOS DE EFECTIVO,2025-01-31,es,Beneficios de la información sobre flujos de efectivo,,7,7,8,8,paragraph,"Con frecuencia, la información histórica sobre flujos de efectivo se usa como indicador del importe, oportunidad y certidumbre de los flujos de efectivo futuros. Es también útil para comprobar la exactitud de evaluaciones pasadas de los flujos de efectivo futuros.",NICSP-02 — ESTADO DE FLUJOS DE EFECTIVO — Beneficios de la información sobre flujos de efectivo — párr. 7 — p. 8,NICSP 02.pdf,"{""chunk_id"": ""NICSP-02-P0007"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-02"", ""norma_titulo"": ""ESTADO DE FLUJOS DE EFECTIVO"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Beneficios de la información sobre flujos de efectivo"", ""subseccion"": null, ""parrafo_ini"": 7, ""parrafo_fin"": 7, ""page_ini_pdf"": 8, ""page_fin_pdf"": 8, ""content_type"": ""paragraph"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 02.pdf""}"
NICSP-02-P0008,NICSP,NICSP-02,ESTADO DE FLUJOS DE EFECTIVO,2025-01-31,es,Definiciones,,8,8,8,8,definition,"Los términos siguientes se usan en esta Norma, con los significados que a continuación se especifican: Efectivo  comprende tanto el efectivo como los depósitos bancarios a la vista. Equivalentes al efectivo  son inversiones a corto plazo de gran liquidez, que son fácilmente convertibles en importes determinados de efectivo, estando sujetos a un riesgo poco significativo de cambios en su valor. Flujos de efectivo  son las entradas y salidas de efectivo y equivalentes al efectivo. Control : Una entidad controla otra entidad cuando está expuesta, o tiene derecho, a beneficios variables procedentes de su implicación en la otra entidad y tiene la capacidad de afectar la naturaleza o importe de esos beneficios a través de su poder sobre la otra entidad. Actividades de financiación  son actividades que producen cambios en el tamaño y composición de los capitales propios y de los préstamos tomados por parte de la entidad. Actividades de inversión  son la adquisición y disposición de activos a largo plazo, así como otras inversiones no incluidas en los equivalentes de efectivo. Actividades de operación  son las actividades de la entidad que no son inversiones ni actividades de financiación. Fecha de presentación  es la fecha del último día del periodo sobre el que se informa al que se refieren los estados financieros. Los términos definidos en otras NICSP se utilizan en esta Norma con el mismo significado que en dichas Normas, y se reproducen en el Glosario de términos definidos  publicado por separado.",NICSP-02 — ESTADO DE FLUJOS DE EFECTIVO — Definiciones — párr. 8 — p. 8,NICSP 02.pdf,"{""chunk_id"": ""NICSP-02-P0008"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-02"", ""norma_titulo"": ""ESTADO DE FLUJOS DE EFECTIVO"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Definiciones"", ""subseccion"": null, ""parrafo_ini"": 8, ""parrafo_fin"": 8, ""page_ini_pdf"": 8, ""page_fin_pdf"": 8, ""content_type"": ""definition"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 02.pdf""}"
NICSP-02-P0009,NICSP,NICSP-02,ESTADO DE FLUJOS DE EFECTIVO,2025-01-31,es,Efectivo y equivalentes al efectivo,,9,9,8,8,definition,"Los equivalentes al efectivo se tienen con el fin cumplir con los compromisos de pago a corto plazo más que para inversión u otros fines. Para que una inversión se considere como equivalente al efectivo, debe poder ser fácilmente convertible en una cantidad determinada de efectivo y estar sujeta a un riesgo insignificante de cambios en su valor. Por tanto, una inversión normalmente podrá ser calificada como equivalente al efectivo solo cuando tenga un vencimiento próximo, por ejemplo, de tres meses o menos desde la fecha de adquisición. Las participaciones en el patrimonio de otras entidades se excluyen de los equivalentes al efectivo a menos que sean, sustancialmente, equivalentes al efectivo.",NICSP-02 — ESTADO DE FLUJOS DE EFECTIVO — Efectivo y equivalentes al efectivo — párr. 9 — p. 8,NICSP 02.pdf,"{""chunk_id"": ""NICSP-02-P0009"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-02"", ""norma_titulo"": ""ESTADO DE FLUJOS DE EFECTIVO"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Efectivo y equivalentes al efectivo"", ""subseccion"": null, ""parrafo_ini"": 9, ""parrafo_fin"": 9, ""page_ini_pdf"": 8, ""page_fin_pdf"": 8, ""content_type"": ""definition"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 02.pdf""}"
NICSP-02-P0010,NICSP,NICSP-02,ESTADO DE FLUJOS DE EFECTIVO,2025-01-31,es,Efectivo y equivalentes al efectivo,,10,10,8,8,definition,"Los préstamos bancarios se consideran, en general, como actividades de financiación. Sin embargo, en algunos países, los sobregiros o descubiertos bancarios que sean exigibles en cualquier momento forman parte integrante de la gestión del efectivo de una entidad. En tales circunstancias, tales sobregiros se incluyen como un componente del efectivo y equivalentes al efectivo. Una característica de tales acuerdos bancarios es que el saldo con el banco fluctúa constantemente de deudor a acreedor.",NICSP-02 — ESTADO DE FLUJOS DE EFECTIVO — Efectivo y equivalentes al efectivo — párr. 10 — p. 8,NICSP 02.pdf,"{""chunk_id"": ""NICSP-02-P0010"", ""doc_set"": ""NICSP"", ""norma_id"": ""NICSP-02"", ""norma_titulo"": ""ESTADO DE FLUJOS DE EFECTIVO"", ""version_corte"": ""2025-01-31"", ""idioma"": ""es"", ""seccion"": ""Efectivo y equivalentes al efectivo"", ""subseccion"": null, ""parrafo_ini"": 10, ""parrafo_fin"": 10, ""page_ini_pdf"": 8, ""page_fin_pdf"": 8, ""content_type"": ""definition"", ""qa_scope"": ""normativo"", ""source_file"": ""NICSP 02.pdf""}"
